MASTER_ID,LONGITUDE,LATITUDE,LonUTMAlbers,LatUTMAlbers,WATER,SRTM_M,NGDC24_M,Area
110380,-145.59319,60.14272,243.9764204,6150.991833,1,-128,-123,1
109800,-146.75055,60.1745,179.7900571,6150.984697,1,-26,-56,1
110094,-146.13569,60.15775,213.8815779,6150.868893,1,-88,-85,1
110381,-145.55735,60.14046,245.9743357,6150.866764,1,-115,-117,1
109801,-146.71459,60.17255,181.7881423,6150.860895,1,-193,-149,1
110095,-146.09979,60.15563,215.8795734,6150.744419,1,-92,-84,1
110382,-145.52151,60.13819,247.9722426,6150.741656,1,-116,-112,1
110096,-146.0639,60.15351,217.8775609,6150.619905,1,-92,-86,1
110383,-145.48568,60.1359,249.9701413,6150.616508,1,-110,-108,1
110097,-146.02802,60.15137,219.8755405,6150.495351,1,-93,-88,1
110384,-145.44985,60.13361,251.9680315,6150.49132,1,-97,-103,1
110098,-145.99214,60.14922,221.873512,6150.370757,1,-90,-88,1
110385,-145.41403,60.13131,253.9659134,6150.366092,1,-101,-100,1
109805,-146.57083,60.16464,189.7804072,6150.365289,1,-132,-144,1
110099,-145.95626,60.14707,223.8714755,6150.246124,1,-95,-91,1
109806,-146.5349,60.16264,191.7784543,6150.241289,1,-135,-129,1
110386,-145.37821,60.129,255.9637869,6150.240824,1,-86,-100,1
110100,-145.92039,60.1449,225.8694309,6150.121451,1,-96,-96,1
109807,-146.49897,60.16063,193.7764938,6150.117248,1,-126,-126,1
110387,-145.3424,60.12668,257.9616519,6150.115516,1,-69,-91,1
110101,-145.88452,60.14273,227.8673782,6149.996738,1,-101,-95,1
109808,-146.46305,60.15861,195.7745256,6149.993169,1,-114,-117,1
110388,-145.30659,60.12435,259.9595085,6149.990168,1,-69,-88,1
110102,-145.84866,60.14054,229.8653175,6149.871985,1,-92,-97,1
109809,-146.42713,60.15658,197.7725497,6149.869049,1,-72,-74,1
110389,-145.27079,60.12201,261.9573566,6149.86478,1,-67,-94,1
110103,-145.8128,60.13835,231.8632486,6149.747193,1,-94,-100,1
109810,-146.39122,60.15454,199.770566,6149.74489,1,-66,-71,1
110390,-145.23499,60.11967,263.9551962,6149.739352,1,-81,-88,1
110104,-145.77695,60.13614,233.8611715,6149.62236,1,-114,-105,1
109811,-146.35531,60.15249,201.7685745,6149.620691,1,-71,-71,1
110391,-145.1992,60.11731,265.9530273,6149.613885,1,-73,-81,1
110105,-145.7411,60.13393,235.8590863,6149.497488,1,-118,-115,1
109812,-146.31941,60.15043,203.7665753,6149.496452,1,-71,-78,1
110392,-145.16341,60.11494,267.9508498,6149.488377,1,-82,-84,1
110106,-145.70525,60.13171,237.8569929,6149.372576,1,-113,-113,1
109813,-146.28351,60.14836,205.7645682,6149.372174,1,-80,-80,1
110393,-145.12763,60.11256,269.9486638,6149.362829,1,-78,-79,1
109523,-146.86231,60.16252,173.6714943,6149.361646,1,-43,-79,1
109814,-146.24762,60.14628,207.7625533,6149.247856,1,-77,-82,1
110107,-145.66942,60.12947,239.8548913,6149.247624,1,-123,-122,1
110394,-145.09185,60.11018,271.9464692,6149.237241,1,-76,-78,1
109815,-146.21172,60.1442,209.7605306,6149.123498,1,-84,-82,1
110108,-145.63358,60.12723,241.8527814,6149.122632,1,-130,-125,1
110395,-145.05608,60.10778,273.944266,6149.111614,1,-78,-81,1
109816,-146.17584,60.1421,211.7585,6148.9991,1,-82,-82,1
110109,-145.59775,60.12498,243.8506633,6148.997601,1,-120,-126,1
109526,-146.75448,60.15673,179.6656682,6148.99047,1,-118,-96,1
110396,-145.02031,60.10537,275.9420542,6148.985946,1,-83,-79,1
109817,-146.13996,60.13999,213.7564614,6148.874663,1,-81,-84,1
110110,-145.56193,60.12272,245.8485369,6148.872529,1,-118,-124,1
109818,-146.10408,60.13788,215.754415,6148.750186,1,-80,-85,1
110111,-145.52611,60.12045,247.8464022,6148.747418,1,-130,-132,1
109819,-146.06821,60.13575,217.7523606,6148.625669,1,-81,-86,1
110112,-145.4903,60.11817,249.8442592,6148.622266,1,-123,-120,1
109529,-146.6467,60.15084,185.6597744,6148.618936,1,-119,-123,1
109820,-146.03234,60.13362,219.7502982,6148.501113,1,-83,-84,1
110113,-145.45449,60.11588,251.8421079,6148.497075,1,-118,-120,1
109530,-146.61078,60.14886,187.6577947,6148.495012,1,-117,-119,1
109821,-145.99648,60.13147,221.7482278,6148.376516,1,-78,-85,1
110114,-145.41868,60.11358,253.8399481,6148.371843,1,-115,-116,1
109531,-146.57486,60.14687,189.6558074,6148.371049,1,-120,-120,1
109822,-145.96062,60.12932,223.7461494,6148.25188,1,-86,-86,1
109532,-146.53895,60.14487,191.6538124,6148.247046,1,-126,-122,1
110115,-145.38289,60.11127,255.83778,6148.246572,1,-96,-111,1
109823,-145.92477,60.12715,225.744063,6148.127204,1,-87,-94,1
109533,-146.50304,60.14286,193.6518098,6148.123003,1,-123,-119,1
110116,-145.34709,60.10895,257.8356035,6148.121261,1,-84,-111,1
109824,-145.88892,60.12498,227.7419685,6148.002488,1,-86,-92,1
109534,-146.46714,60.14084,195.6497995,6147.998921,1,-69,-75,1
110117,-145.3113,60.10662,259.8334185,6147.99591,1,-94,-107,1
109825,-145.85308,60.12279,229.739866,6147.877732,1,-90,-93,1
109535,-146.43124,60.13881,197.6477815,6147.874799,1,-69,-70,1
110118,-145.27552,60.10429,261.8312251,6147.870519,1,-101,-109,1
