genus.species,common.name,trait,estimate,gender,region,reference,database,lengthType,comments
Lepidopsetta spp.,rock soles,length50percentMaturity,32.8,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,31+,f,Washington,Hart 1973,fishbase,,data for Southern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,28+,m,Washington,Hart 1973,fishbase,,data for Southern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,21-22,both,Russia,Moiseev 1953,fishbase,,data for Southern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,34.7,f,GoA,Stark & Somerton 2002,fishbase,TL,data for Southern rock sole
Lepidopsetta spp.,rock soles,lengthMaximum,65,f,GoA,AFSC trawl survey,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,ageMaximum,28,u,GoA,AFSC trawl survey,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,Linfinity,38.7,m,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,Linfinity,52,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,K,0.182,m,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,K,0.12,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,age50percentMaturity,9,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Southern rock sole
Lepidopsetta spp.,rock soles,length50percentMaturity,34.7,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Southern rock sole
Limanda aspera,yellowfin sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Limanda aspera,yellowfin sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Limanda aspera,yellowfin sole,trophicPosition,3.6,both,GoA,Aydin et al. 2007,,,
Limanda aspera,yellowfin sole,firstMaturityLength,23-24,f,Asia,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityLength,19-21,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityLength,20-23,both,Sea of Japan,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityLength,14.7-17.8,m,E Bering,Wakabayashi 1984,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityLength,20.5-22.9,f,E Bering,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityLength,20+,m,Asia,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityLength,20,m,Kamchatka,,fishbase,TL,
Limanda aspera,yellowfin sole,firstMaturityLength,24,m,Kamchatka,,fishbase,TL,
Limanda aspera,yellowfin sole,firstMaturityLength,26,f,Kamchatka,,fishbase,TL,
Limanda aspera,yellowfin sole,firstMaturityLength,30,f,Kamchatka,,fishbase,TL,
Limanda aspera,yellowfin sole,firstMaturityLength,30,f,Bering Sea & Aleutian Islands,Witherell 1996,fishbase,NG,
Limanda aspera,yellowfin sole,firstMaturityAge,6.0-7.0,f,Asia,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityAge,4.0-5.0,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityAge,4+,m,E Bering,Wakabayashi 1984,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityAge,9+,f,E Bering,,fishbase,,
Limanda aspera,yellowfin sole,firstMaturityAge,4.0-5.0,m,Asia,,fishbase,,
Limanda aspera,yellowfin sole,lengthMaximum,49,both,,,fishbase,TL,
Limanda aspera,yellowfin sole,lengthMaximum,63,u,GoA,AFSC trawl survey,REEM,,
Limanda aspera,yellowfin sole,lengthMaximum,70,f,E Bering,AFSC trawl survey,REEM,,
Limanda aspera,yellowfin sole,ageMaximum,34,both,,,fishbase,,
Limanda aspera,yellowfin sole,ageMaximum,34,f,GoA,AFSC trawl survey,REEM,,
Limanda aspera,yellowfin sole,ageMaximum,37,m,E Bering,AFSC trawl survey,REEM,,
Limanda aspera,yellowfin sole,adultWaterColumnPosition,demersal,both,,,fishbase,,
Limanda aspera,yellowfin sole,depthRange,0-150,both,N Pacific,Allen & Smith 1988,REEM,,
Limanda aspera,yellowfin sole,depthMax,150,both,N Pacific,Allen & Smith 1988,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,10.5,f,E Bering,Nichol 1995 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,10.5,f,E Bering,Wilderbuer and Nichol 2002 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,10.6,f,E Bering,Nichol 1995 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,9,f,E Bering,Fadeev 1970 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,9,f,E Bering,Bakkala 1993 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,9,f,E Bering,Mito et al. 1999 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,10.5,f,Bering & Aleutian Islands,Witherell 2000 ,REEM,,
Limanda aspera,yellowfin sole,age50percentMaturity,5,m,E Bering,Fadeev 1970 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,30.7,f,E Bering,Nichol 1995 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,30.7,f,E Bering,Wilderbuer and Nichol 2002 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,29.3,f,E Bering,Nichol 1995 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,30-32,f,E Bering,Fadeev 1970 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,25,f,E Bering,Wakabayashi 1989 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,28.8,f,E Bering,Wilderbuer et al. 1992 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,25.2,f,E Bering,Bakkala et al. 1981 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,30,f,Bering & Aleutian Islands,Witherell 2000 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,16-18,m,E Bering,Fadeev 1970 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,13,m,E Bering,Wakabayashi 1989 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,20.3,m,E Bering,Wilderbuer et al. 1992 ,REEM,,
Limanda aspera,yellowfin sole,length50percentMaturity,12.8,m,E Bering,Bakkala et al. 1981 ,REEM,,
Limanda aspera,yellowfin sole,Linfinity,32.8,m,GoA,,fishbase,TL,
Limanda aspera,yellowfin sole,Linfinity,33.7,m,Aleutian Islands,,fishbase,,
Limanda aspera,yellowfin sole,Linfinity,37.8,f,Aleutian Islands,,fishbase,,
Limanda aspera,yellowfin sole,Linfinity,38.2,f,GoA,,fishbase,TL,
Limanda aspera,yellowfin sole,Linfinity,43.1,f,E Bering,,fishbase,NG,
Limanda aspera,yellowfin sole,Linfinity,43.4,u,Russia,,fishbase,TL,
Limanda aspera,yellowfin sole,Linfinity,43.6,u,Russia,,fishbase,TL,
Limanda aspera,yellowfin sole,Linfinity,43.6,u,Russia,,fishbase,TL,
Limanda aspera,yellowfin sole,Linfinity,47.3,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,Linfinity,52,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,Linfinity,52.2,f,Russia,,fishbase,TL,
Limanda aspera,yellowfin sole,Linfinity,58,u,E Bering,,fishbase,,
Limanda aspera,yellowfin sole,Linfinity,74.4,m,Russia,,fishbase,TL,
Limanda aspera,yellowfin sole,K,0.19,m,GoA,,fishbase,,
Limanda aspera,yellowfin sole,K,0.161,m,Aleutian Islands,,fishbase,,
Limanda aspera,yellowfin sole,K,0.137,f,Aleutian Islands,,fishbase,,
Limanda aspera,yellowfin sole,K,0.14,f,GoA,,fishbase,,
Limanda aspera,yellowfin sole,K,0.1,f,E Bering,,fishbase,,
Limanda aspera,yellowfin sole,K,0.19,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,K,0.12,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,K,0.14,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,K,0.14,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,K,0.09,u,Russia,,fishbase,,
Limanda aspera,yellowfin sole,K,0.148,f,Russia,,fishbase,,
Limanda aspera,yellowfin sole,K,0.08,u,E Bering,,fishbase,,
Limanda aspera,yellowfin sole,K,0.085,m,Russia,,fishbase,,
Lycodes brevipes,shortfin eelpout,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Lycodes brevipes,shortfin eelpout,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Lycodes brevipes,shortfin eelpout,trophicPosition,3.6,both,GoA,Aydin et al. 2007,,,
Lycodes brevipes,shortfin eelpout,lengthMaximum,30,both,,,fishbase,TL,
Lycodes brevipes,shortfin eelpout,lengthMaximum,37,m,E Bering,AFSC trawl survey,REEM,,
Lycodes brevipes,shortfin eelpout,adultWaterColumnPosition,demersal,both,,,fishbase,,
Lycodes brevipes,shortfin eelpout,adultSubstrate,"mud, sand",both,,,fishbase,,
Lycodes brevipes,shortfin eelpout,depthRange,0-250,both,N Pacific,Allen & Smith 1988,REEM,,
Lycodes brevipes,shortfin eelpout,depthMax,250,both,N Pacific,Allen & Smith 1988,REEM,,
Lycodes palearis,wattled eelpout,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Lycodes palearis,wattled eelpout,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Lycodes palearis,wattled eelpout,trophicPosition,3.6,both,GoA,Aydin et al. 2007,,,
Lycodes palearis,wattled eelpout,lengthMaximum,39,u,GoA,AFSC trawl survey,REEM,,
Lycodes palearis,wattled eelpout,lengthMaximum,56,u,E Bering,AFSC trawl survey,REEM,,
Lycodes palearis,wattled eelpout,adultWaterColumnPosition,demersal,both,,,fishbase,,
Lycodes palearis,wattled eelpout,adultSubstrate,"mud, sand",both,,,fishbase,,
Lycodes palearis,wattled eelpout,depthRange,0-200,both,N Pacific,Allen & Smith 1988,REEM,,
Lycodes palearis,wattled eelpout,depthMax,200,both,N Pacific,Allen & Smith 1988,REEM,,
Lyopsetta exilis,slender sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Lyopsetta exilis,slender sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Lyopsetta exilis,slender sole,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Lyopsetta exilis,slender sole,lengthMaximum,35,both,,,fishbase,TL,
Lyopsetta exilis,slender sole,lengthMaximum,36,f,GoA,AFSC trawl survey,REEM,,
Lyopsetta exilis,slender sole,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Lyopsetta exilis,slender sole,adultSubstrate,rocky,both,,,fishbase,,
Lyopsetta exilis,slender sole,depthRange,50-350,both,GoA,Allen & Smith 1988,REEM,,
Lyopsetta exilis,slender sole,depthMax,350,both,GoA,Allen & Smith 1988,REEM,,
Malacocottus zonurus,darkfin sculpin,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Malacocottus zonurus,darkfin sculpin,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Malacocottus zonurus,darkfin sculpin,trophicPosition,3.9,both,GoA,Aydin et al. 2007,,,
Malacocottus zonurus,darkfin sculpin,lengthConversionSLtoTL,1.212,both,,used reltionship for Dasycottus setiger,fishbase,,
Malacocottus zonurus,darkfin sculpin,lengthMaximum,35,both,,,fishbase,SL,
Malacocottus zonurus,darkfin sculpin,lengthMaximum,22,f,GoA,AFSC trawl survey,REEM,,
Malacocottus zonurus,darkfin sculpin,lengthMaximum,35,both,Kamchatka,Tokranov and Orlov 2001,REEM,,
Malacocottus zonurus,darkfin sculpin,ageMaximum,12,both,,,fishbase,,
Malacocottus zonurus,darkfin sculpin,ageMaximum,12,both,Kamchatka,Tokranov and Orlov 2001,REEM,,
Malacocottus zonurus,darkfin sculpin,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Malacocottus zonurus,darkfin sculpin,depthRange,100-650,both,N Pacific,Allen & Smith 1988,REEM,,
Malacocottus zonurus,darkfin sculpin,depthMax,650,both,N Pacific,Allen & Smith 1988,REEM,,
Malacocottus zonurus,darkfin sculpin,Linfinity,47.3,u,Kamchatka,,fishbase,SL,questionable
Malacocottus zonurus,darkfin sculpin,K,0.12,u,Kamchatka,,fishbase,,questionable
Mallotus villosus,capelin,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Mallotus villosus,capelin,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Mallotus villosus,capelin,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Mallotus villosus,capelin,firstMaturityLength,13.5,u,"Iceland, Greenland",,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,15+,u,unknown,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,9.0-10.0,u,Sea of Okhotsk,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,11,f,Kamchatka,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,12,f,W Bering,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,13,u,Norway,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,13,m,Kamchatka,,fishbase,FL,
Mallotus villosus,capelin,firstMaturityLength,13.5,m,W Bering,,fishbase,FL,
Mallotus villosus,capelin,firstMaturityLength,13.8,f,Barents Sea,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,14.6,m,Barents Sea,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,15.9,u,Newfoundland,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,17,f,Labrador Sea,,fishbase,,
Mallotus villosus,capelin,firstMaturityLength,18,m,Labrador Sea,,fishbase,,
Mallotus villosus,capelin,firstMaturityAge,2.0-4.0,u,"Iceland, Greenland",,fishbase,,
Mallotus villosus,capelin,firstMaturityAge,2.0-3.0,u,Iceland,,fishbase,,
Mallotus villosus,capelin,firstMaturityAge,2+,u,unknown,,fishbase,,
Mallotus villosus,capelin,lengthMaximum,25.2,both,,,fishbase,TL,
Mallotus villosus,capelin,lengthMaximum,16,u,GoA,AFSC trawl survey,REEM,,
Mallotus villosus,capelin,lengthMaximum,25,u,E Bering,AFSC trawl survey,REEM,,
Mallotus villosus,capelin,ageMaximum,10,both,,,fishbase,,
Mallotus villosus,capelin,ageMaximum,10,f,Newfoundland,"Winters 1970, Trumble 1973",REEM,,
Mallotus villosus,capelin,ageMaximum,6,u,W Bering,Naumenko 1996,REEM,,
Mallotus villosus,capelin,adultWaterColumnPosition,pelagic-oceanic,both,,,fishbase,,
Mallotus villosus,capelin,migratoryStatus,anadromous,both,,,fishbase,,
Mallotus villosus,capelin,depthRange,0-200,both,N Pacific,Allen & Smith 1988,REEM,,
Mallotus villosus,capelin,depthMax,200,both,N Pacific,Allen & Smith 1988,REEM,,
Mallotus villosus,capelin,age50percentMaturity,1.0-2.0,both,Pribilof Islands,Naumenko 1996,REEM,,
Mallotus villosus,capelin,Linfinity,19,f,N Atlantic,,fishbase,TL,
Mallotus villosus,capelin,Linfinity,19.8,f,Barents Sea,,fishbase,TL,
Mallotus villosus,capelin,Linfinity,20,m,N Atlantic,,fishbase,TL,
Mallotus villosus,capelin,Linfinity,27.8,m,Barents Sea,,fishbase,TL,
Mallotus villosus,capelin,K,0.48,f,N Atlantic,,fishbase,,
Mallotus villosus,capelin,K,0.454,f,Barents Sea,,fishbase,,
Mallotus villosus,capelin,K,0.48,m,N Atlantic,,fishbase,,
Mallotus villosus,capelin,K,0.259,m,Barents Sea,,fishbase,,
Merluccius productus,Pacific hake,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Merluccius productus,Pacific hake,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Merluccius productus,Pacific hake,trophicPosition,4.4,both,,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityLength,35-42,u,NE Pacific,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityLength,34-40,f,Baja California,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityLength,37+,u,Strait of Georgia,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityLength,35-40,u,NE Pacific,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityLength,28,m,Baja California,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityAge,3.0-4.0,u,NE Pacific,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityAge,3.0-4.0,f,Baja California,,fishbase,,
Merluccius productus,Pacific hake,firstMaturityAge,3.8+,u,Strait of Georgia,,fishbase,,
Merluccius productus,Pacific hake,lengthMaximum,91,both,,,fishbase,TL,
Merluccius productus,Pacific hake,lengthMaximum,84,u,GoA,AFSC trawl survey,REEM,,
Merluccius productus,Pacific hake,lengthMaximum,91,u,West Coast,AFSC trawl survey,REEM,,
Merluccius productus,Pacific hake,ageMaximum,16,both,,,fishbase,,
Merluccius productus,Pacific hake,ageMaximum,20,m,GoA,AFSC trawl survey,REEM,,
Merluccius productus,Pacific hake,ageMaximum,22,f,Aleutian Islands,AFSC trawl survey,REEM,,
Merluccius productus,Pacific hake,adultWaterColumnPosition,pelagic-oceanic,both,,,fishbase,,
Merluccius productus,Pacific hake,adultSlopeShelf,"shelf, slope",both,,,fishbase,,
Merluccius productus,Pacific hake,depthRange,50-500,both,N Pacific,Allen & Smith 1988,REEM,,
Merluccius productus,Pacific hake,depthMax,500,both,N Pacific,Allen & Smith 1988,REEM,,
Merluccius productus,Pacific hake,Linfinity,56.29,m,"West Coast (Oregon, Washington, California)",Dark 1975,REEM,,
Merluccius productus,Pacific hake,Linfinity,61.23,f,"West Coast (Oregon, Washington, California)",Dark 1975,REEM,,
Merluccius productus,Pacific hake,K,0.39,m,"West Coast (Oregon, Washington, California)",Dark 1975,REEM,,
Merluccius productus,Pacific hake,K,0.3,f,"West Coast (Oregon, Washington, California)",Dark 1975,REEM,,
Microstomus pacificus,Dover sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Microstomus pacificus,Dover sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Microstomus pacificus,Dover sole,trophicPosition,3.4,both,GoA,Aydin et al. 2007,,,
Microstomus pacificus,Dover sole,firstMaturityLength,38-40,f,Oregon,,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityLength,36+,u,California,,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityLength,33.2+,u,"California, Oregon",,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityLength,31,u,California,,fishbase,TL,
Microstomus pacificus,Dover sole,firstMaturityLength,33,m,NE Pacific,,fishbase,TL,
Microstomus pacificus,Dover sole,firstMaturityLength,38,f,NE Pacific,,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityAge,5.5+,u,California,,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityAge,9.0+,u,"California, Oregon",,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityAge,4.0-5.0,m,NE Pacific,,fishbase,,
Microstomus pacificus,Dover sole,firstMaturityAge,5.0-6.0,f,NE Pacific,,fishbase,,
Microstomus pacificus,Dover sole,lengthMaximum,76,both,,,fishbase,TL,
Microstomus pacificus,Dover sole,lengthMaximum,75,u,GoA,AFSC trawl survey,REEM,,
Microstomus pacificus,Dover sole,ageMaximum,56,both,,,fishbase,,
Microstomus pacificus,Dover sole,ageMaximum,53,f,GoA,AFSC trawl survey,REEM,,
Microstomus pacificus,Dover sole,Linfinity,52.1,f,GoA,,2015 Stock Assessment,,
Microstomus pacificus,Dover sole,Linfinity,43.97,m,GoA,,2015 Stock Assessment,,
Microstomus pacificus,Dover sole,Linfinity,49.89,f,GoA (Kodiak Is),Abookire and Macewicz 2003 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,47.8,m,Washington,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,54.1,f,Washington,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,48.2,m,Oregon,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,52.5,f,Oregon,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,47.3,m,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,51.1,f,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,44.6,m,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,49.9,f,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,43.7,m,California,Hunter et al. 1990 ,REEM,,
Microstomus pacificus,Dover sole,Linfinity,47.4,f,California,Hunter et al. 1990 ,REEM,,
Microstomus pacificus,Dover sole,K,0.113,f,GoA,,2015 Stock Assessment,,
Microstomus pacificus,Dover sole,K,0.158,m,GoA,,2015 Stock Assessment,,
Microstomus pacificus,Dover sole,K,0.213,f,GoA (Kodiak Is),Abookire and Macewicz 2003 ,REEM,,
Microstomus pacificus,Dover sole,K,0.094,m,Washington,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.091,f,Washington,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.068,m,Oregon,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.083,f,Oregon,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.085,m,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.119,f,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.115,m,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.122,f,California,Brodziak and Mikus 2000 ,REEM,,
Microstomus pacificus,Dover sole,K,0.089,m,California,Hunter et al. 1990 ,REEM,,
Microstomus pacificus,Dover sole,K,0.085,f,California,Hunter et al. 1990 ,REEM,,
Microstomus pacificus,Dover sole,adultWaterColumnPosition,demersal,both,,,fishbase,,
Microstomus pacificus,Dover sole,adultSubstrate,mud,both,,,fishbase,,
Microstomus pacificus,Dover sole,depthRange,0-500,both,N Pacific,Allen & Smith 1988,REEM,,
Microstomus pacificus,Dover sole,depthMax,500,both,N Pacific,Allen & Smith 1988,REEM,,
Microstomus pacificus,Dover sole,age50percentMaturity,6.7,f,GoA (Kodiak Is),Abookire and Macewicz 2003 ,REEM,,
Microstomus pacificus,Dover sole,length50percentMaturity,43.9,f,GoA (Kodiak Is),Abookire and Macewicz 2003 ,REEM,,
Myctophidae spp.,lanternfishes,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Myctophidae spp.,lanternfishes,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Myctophidae spp.,lanternfishes,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Myctophidae spp.,lanternfishes,adultWaterColumnPosition,bathypelagic,both,,,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Myoxocephalus polyacanthocephalus,great sculpin,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Myoxocephalus polyacanthocephalus,great sculpin,trophicPosition,4,both,GoA,Aydin et al. 2007,,,
Myoxocephalus polyacanthocephalus,great sculpin,firstMaturityLength,54-58,f,Kamchatka,Tokranov 1988,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,firstMaturityLength,38-40,m,Kamchatka,Tokranov 1988,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,lengthMaximum,80,both,,,fishbase,TL,
Myoxocephalus polyacanthocephalus,great sculpin,lengthMaximum,72,both,GoA,,2015 Stock Assessment,,
Myoxocephalus polyacanthocephalus,great sculpin,lengthMaximum,72,f,GoA,AFSC trawl survey,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,lengthMaximum,82,f,E Bering,AFSC trawl survey,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,ageMaximum,13,f,Kamchatka,Tokranov 1984,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,adultWaterColumnPosition,demersal,both,,,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,adultSubstrate,"mud, sand",both,,,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,migratoryStatus,amphidromous,both,,,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,depthRange,0-250,both,N Pacific,Allen & Smith 1988,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,depthMax,250,both,N Pacific,Allen & Smith 1988,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,age50percentMaturity,6,m,Kamchatka,Tokranov 1984,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,age50percentMaturity,8,f,Kamchatka,Tokranov 1984,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,length50percentMaturity,38-40,m,Kamchatka,Tokranov 1984,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,length50percentMaturity,54-58,f,Kamchatka,Tokranov 1984,REEM,,
Myoxocephalus polyacanthocephalus,great sculpin,Linfinity,72.5,m,Kamchatka,,fishbase,TL,
Myoxocephalus polyacanthocephalus,great sculpin,Linfinity,109.2,f,Kamchatka,,fishbase,TL,
Myoxocephalus polyacanthocephalus,great sculpin,K,0.12,m,Kamchatka,,fishbase,,
Myoxocephalus polyacanthocephalus,great sculpin,K,0.08,f,Kamchatka,,fishbase,,
Oncorhynchus keta,Chum salmon,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Oncorhynchus keta,Chum salmon,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Oncorhynchus keta,Chum salmon,trophicPosition,3.8,both,GoA,Aydin et al. 2007,,,
Oncorhynchus keta,Chum salmon,lengthConversionFLtoTL,1.017,both,,fishbase,fishbase,,
Oncorhynchus keta,Chum salmon,firstMaturityLength,70,f,"British Columbia, Columbia River",,fishbase,,
Oncorhynchus keta,Chum salmon,firstMaturityLength,81,m,"British Columbia, Columbia River",,fishbase,,
Oncorhynchus keta,Chum salmon,firstMaturityAge,2.0-5.0,u,Pacific,,fishbase,,
Oncorhynchus keta,Chum salmon,firstMaturityAge,2.0-4.0,u,Korea,,fishbase,,
Oncorhynchus keta,Chum salmon,lengthMaximum,100,both,,,fishbase,FL,
Oncorhynchus keta,Chum salmon,ageMaximum,7,both,,,fishbase,,
Oncorhynchus keta,Chum salmon,adultWaterColumnPosition,benthopelagic,both,,,fishbase,,
Oncorhynchus keta,Chum salmon,adultSlopeShelf,"ocean, coastal streams",both,,,fishbase,,
Oncorhynchus keta,Chum salmon,migratoryStatus,anadromous,both,,,fishbase,,
Oncorhynchus keta,Chum salmon,temperatureUpper,24,both,,,fishbase,,
Oncorhynchus keta,Chum salmon,Linfinity,102,f,Columbia River,,fishbase,TL,
Oncorhynchus keta,Chum salmon,Linfinity,105,f,Columbia River,,fishbase,TL,
Oncorhynchus keta,Chum salmon,Linfinity,106,m,Columbia River,,fishbase,TL,
Oncorhynchus keta,Chum salmon,Linfinity,120,m,Columbia River,,fishbase,TL,
Oncorhynchus keta,Chum salmon,K,0.39,f,Columbia River,,fishbase,,
Oncorhynchus keta,Chum salmon,K,0.3,f,Columbia River,,fishbase,,
Oncorhynchus keta,Chum salmon,K,0.45,m,Columbia River,,fishbase,,
Oncorhynchus keta,Chum salmon,K,0.27,m,Columbia River,,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,diet,F,both,GoA,,REEM Groundfish Diet Database,,
Oncorhynchus tshawytscha,Chinook salmon,guild,A,both,GoA,,REEM Groundfish Diet Database,,
