"year","stat6","pounds"
1988,635330,1545129
1988,635400,1426359
1988,635435,116689
1988,635501,574951
1988,645331,680411
1988,645401,148861
1988,645432,3108
1988,645502,556007
1989,230,739919
1989,231,32630
1989,232,71690
1989,240,1151428
1989,241,149930
1989,242,153902
1989,250,2621016
1989,251,180703
1989,260,5216404
1989,261,2595375
1989,270,7243925
1989,271,427435
1989,272,132749
1989,280,5364400
1989,281,322820
1989,290,1472564
1989,291,223612
1989,300,1758572
1989,310,877987
1989,320,1218720
1989,330,755126
1989,340,517577
1989,350,207549
1989,445900,686231
1989,445931,590367
1989,455900,884972
1989,455930,74794
1989,465901,629279
1989,465904,5120
1989,465932,66185
1989,466003,44
1989,466004,803
1989,466031,697
1989,466033,39
1989,475730,4405
1989,475800,110161
1989,475830,452822
1989,475900,1994140
1989,475931,6608
1989,475932,29674
1989,475933,1460
1989,476003,519
1989,476004,21939
1989,476005,1282
1989,476006,34275
1989,476007,1200
1989,476008,626
1989,476009,810
1989,476031,2298
1989,476032,159523
1989,476033,8298
1989,476034,15749
1989,476036,593
1989,485700,18904
1989,485730,243720
1989,485800,2472631
1989,485831,2441336
1989,485832,653105
1989,485901,185323
1989,485931,5390
1989,485932,934
1989,486001,3842
1989,486031,1699
1989,486033,551
1989,486034,6320
1989,495700,77103
1989,495730,2968291
1989,495731,992
1989,495800,101975
1989,495831,149838
1989,495832,239592
1989,495901,11233
1989,495931,26443
1989,495932,1118
1989,495934,1547
1989,495936,2421
1989,495938,6112
1989,496002,75
1989,505630,60668
1989,505700,1658890
1989,505730,548245
1989,505800,12236271
1989,505831,31212
1989,505832,97521
1989,505902,106
1989,505903,15753
1989,505905,4719
1989,505906,592
1989,505907,898
1989,505909,172
1989,505932,553
1989,515600,350432
1989,515630,836821
1989,515700,8202466
1989,515730,13353116
1989,515801,2858
1989,515802,10980845
1989,515831,1767
1989,515833,64463
1989,515905,3136
1989,515906,60
1989,515935,7551
1989,525600,1146157
1989,525630,5950866
1989,525701,198900
1989,525702,17724478
1989,525703,1500
1989,525731,4645191
1989,525732,5986507
1989,525733,165635
1989,525801,79245
1989,525802,1258844
1989,525803,94889
1989,525804,139297
1989,525805,5935191
1989,525806,201294
1989,525807,12061163
1989,525833,753
1989,525836,501
1989,525902,30
1989,525931,582
1989,535500,16708
1989,535530,272703
1989,535601,197886
1989,535602,3843124
1989,535631,126909
1989,535632,4685172
1989,535701,6571
1989,535702,105518
1989,535703,20773
1989,535704,262384
1989,535731,713228
1989,535732,475727
1989,535734,41981
1989,535802,7537143
1989,535803,3563051
1989,545500,373605
1989,545530,4907652
1989,545602,1043790
1989,545702,4501
1989,545704,1612
1989,545732,1613725
1989,545734,883089
1989,545804,1052059
1989,555500,526711
1989,555532,1904531
1989,555600,1278101
1989,555630,51178
1989,555701,51518
1989,555733,5981
1989,565430,106698
1989,565500,7748826
1989,565531,147954
1989,565532,888560
1989,565601,794326
1989,565602,216
1989,565631,1867
1989,575400,59099
1989,575430,283795
1989,575500,234420
1989,575603,10556
