"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","Area"
36261,-156.13826,55.80255,-382.72854,5674.817877,14
36262,-156.10635,55.80313,-380.7385563,5674.705284,14
36263,-156.07444,55.80369,-378.7485745,5674.592648,14
36264,-156.04253,55.80425,-376.7585946,5674.47997,14
36265,-156.01062,55.80479,-374.7686166,5674.367248,14
36514,-156.77754,55.8072,-422.4149679,5679.064367,14
36515,-156.74563,55.80795,-420.4249184,5678.952629,14
36516,-156.71373,55.80869,-418.4348706,5678.840849,14
36517,-156.68183,55.80942,-416.4448244,5678.729025,14
36518,-156.64992,55.81014,-414.4547801,5678.617159,14
36519,-156.61802,55.81085,-412.4647375,5678.50525,14
36520,-156.58611,55.81155,-410.4746966,5678.393298,14
36521,-156.5542,55.81225,-408.4846575,5678.281303,14
36522,-156.52229,55.81293,-406.4946201,5678.169265,14
36523,-156.49038,55.81361,-404.5045846,5678.057184,14
36524,-156.45847,55.81428,-402.5145508,5677.945061,14
36525,-156.42656,55.81494,-400.5245188,5677.832894,14
36526,-156.39464,55.81559,-398.5344887,5677.720685,14
36527,-156.36273,55.81623,-396.5444603,5677.608432,14
36528,-156.33081,55.81686,-394.5544338,5677.496137,14
36529,-156.29889,55.81749,-392.5644091,5677.383799,14
36530,-156.26697,55.81811,-390.5743862,5677.271418,14
36531,-156.23505,55.81872,-388.5843652,5677.158995,14
36532,-156.20313,55.81931,-386.594346,5677.046528,14
36533,-156.17121,55.81991,-384.6043288,5676.934018,14
36534,-156.13929,55.82049,-382.6143133,5676.821466,14
36535,-156.10737,55.82106,-380.6242998,5676.708871,14
36536,-156.07544,55.82163,-378.6342882,5676.596233,14
36537,-156.04352,55.82218,-376.6442784,5676.483552,14
36538,-156.01159,55.82273,-374.6542706,5676.370828,14
36783,-156.8427,55.82362,-426.2815062,5681.291324,14
36784,-156.81079,55.82438,-424.2914234,5681.179669,14
36785,-156.77887,55.82513,-422.3013424,5681.067972,14
36786,-156.74695,55.82588,-420.311263,5680.956232,14
36787,-156.71504,55.82662,-418.3211854,5680.844449,14
36788,-156.68312,55.82735,-416.3311095,5680.732624,14
36789,-156.6512,55.82807,-414.3410354,5680.620755,14
36790,-156.61928,55.82878,-412.3509629,5680.508843,14
36791,-156.58735,55.82948,-410.3608923,5680.396889,14
36792,-156.55543,55.83018,-408.3708233,5680.284892,14
36793,-156.52351,55.83086,-406.3807562,5680.172851,14
36794,-156.49158,55.83154,-404.3906908,5680.060768,14
36795,-156.45965,55.83221,-402.4006272,5679.948642,14
