"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area","depth"
20729,-158.73197,54.82677,-557.478756357612,5584.00466875876,1,-97,-92,1,92
18559,-162.19942,54.5219,-782.8647549989,5583.9873153547,1,-133,-138,1,138
19282,-161.00876,54.63772,-705.086730542477,5583.91452791828,1,-111,-111,1,111
18921,-161.58963,54.58239,-742.98169676608,5583.90689776942,1,-67,-101,1,101
19644,-160.42627,54.69009,-667.191192559685,5583.90633565723,1,-103,-113,1,113
20730,-158.70093,54.82805,-555.490059024663,5583.8958568362,1,-102,-98,1,98
18560,-162.16878,54.52411,-780.876074298848,5583.88342744967,1,-135,-139,1,139
21087,-158.11284,54.86862,-517.592460832737,5583.82537583889,1,-171,-141,1,141
19283,-160.97797,54.63961,-703.09804077488,5583.80893718262,1,-113,-116,1,116
18922,-161.55891,54.58443,-740.99301152997,5583.8021362096,1,-76,-100,1,100
19645,-160.39542,54.69182,-665.202499479053,5583.7999166497,1,-101,-115,1,115
20731,-158.6699,54.82931,-553.501363234437,5583.78700160241,1,-108,-107,1,107
18561,-162.13815,54.52631,-778.887394657341,5583.77949597278,1,-130,-139,1,139
21088,-158.08176,54.86972,-515.603767932964,5583.7156957312,1,-102,-131,1,131
19284,-160.94718,54.64149,-701.109352204625,5583.70330296886,1,-114,-122,1,122
18923,-161.52819,54.58647,-739.004327419762,5583.69733112615,1,-79,-101,1,101
19646,-160.36456,54.69355,-663.213807674648,5583.69345420882,1,-100,-114,1,114
20732,-158.63886,54.83057,-551.512668992631,5583.67810305923,1,-109,-115,1,115
18562,-162.10751,54.5285,-776.89871607805,5583.67552092633,1,-125,-141,1,141
21089,-158.05067,54.87082,-513.615076686411,5583.60597235223,1,-88,-133,1,133
19285,-160.91639,54.64336,-699.120664836148,5583.59762527923,1,-113,-122,1,122
18924,-161.49747,54.5885,-737.015644439527,5583.59248252135,1,-71,-101,1,101
19647,-160.33369,54.69526,-661.22511715126,5583.58694833673,1,-100,-105,1,105
18563,-162.07686,54.53069,-774.910038564662,5583.57150231263,1,-123,-138,1,138
20733,-158.60782,54.83182,-549.523976304954,5583.56916120849,1,-102,-136,1,136
18205,-162.65448,54.46993,-812.803832985311,5583.53466706105,10,-83,-69,1,69
21090,-158.01958,54.87191,-511.626387099052,5583.49620570366,1,-99,-139,1,139
19286,-160.88559,54.64523,-697.131978673911,5583.49190411594,1,-110,-123,1,123
18925,-161.46675,54.59052,-735.026962593353,5583.48759039747,1,-71,-101,1,101
19648,-160.30283,54.69697,-659.236427913712,5583.48039903559,1,-96,-107,1,107
18564,-162.04622,54.53286,-772.921362120886,5583.46744013399,1,-143,-144,1,144
18206,-162.62392,54.47226,-810.815162870859,5583.43143573003,1,-122,-123,1,123
21091,-157.98849,54.873,-509.637699176863,5583.38639578719,1,-106,-140,1,140
19287,-160.85479,54.64709,-695.143293722393,5583.3861394812,1,-105,-123,1,123
18926,-161.43602,54.59254,-733.038281885354,5583.38265475677,1,-63,-99,1,99
19649,-160.27196,54.69867,-657.247739966817,5583.37380630753,1,-93,-103,1,103
18565,-162.01557,54.53503,-770.932686750447,5583.3633343927,1,-145,-147,1,147
19288,-160.82399,54.64893,-693.154609986081,5583.28033137723,1,-106,-125,1,125
18927,-161.40529,54.59454,-731.049602319656,5583.27767560151,1,-75,-94,1,94
21092,-157.95739,54.87407,-507.64901292585,5583.27654260448,1,-106,-142,1,142
19650,-160.24109,54.70036,-655.25905331542,5583.26717015468,1,-88,-98,1,98
18566,-161.98491,54.53719,-768.944012457085,5583.25918509107,1,-143,-148,1,148
18208,-162.56277,54.4769,-806.837825694747,5583.2248422447,1,-159,-149,1,149
19289,-160.79318,54.65077,-691.165927469494,5583.17447980623,1,-107,-126,1,126
18928,-161.37456,54.59654,-729.060923900407,5583.17265293397,1,-101,-90,1,90
21093,-157.9263,54.87514,-505.66032835201,5583.16664615723,1,-116,-147,1,147
19651,-160.21021,54.70204,-653.270367964374,5583.16049057918,1,-87,-93,1,93
18567,-161.95425,54.53934,-766.955339244573,5583.15499223139,1,-144,-148,1,148
19290,-160.76237,54.6526,-689.177246177152,5583.0685847704,1,-108,-127,1,127
18929,-161.34382,54.59852,-727.072246631768,5583.06758675639,1,-124,-88,1,88
19652,-160.17934,54.70372,-651.281683918556,5583.05376758315,1,-86,-83,1,83
18568,-161.92359,54.54149,-764.96666711669,5583.05075581596,1,-147,-146,1,146
18210,-162.50162,54.48151,-802.860492611436,5583.01807434378,1,-143,-149,1,149
19291,-160.73156,54.65443,-687.188566113604,5582.96264627193,1,-100,-127,1,127
18930,-161.31308,54.6005,-725.083570517921,5582.96247707103,1,-130,-87,1,87
19653,-160.14846,54.70538,-649.293001182855,5582.9470011687,1,-86,-73,1,73
18569,-161.89293,54.54362,-762.977996077236,5582.94647584707,1,-146,-147,1,147
18211,-162.47103,54.4838,-800.871827613064,5582.91462499324,1,-144,-149,1,149
18931,-161.28233,54.60248,-723.094895563068,5582.85732388014,1,-120,-87,1,87
19292,-160.70074,54.65624,-685.199887283408,5582.85666431301,1,-96,-126,1,126
18570,-161.86226,54.54575,-760.989326130032,5582.84215232701,1,-142,-143,1,143
19654,-160.11757,54.70704,-647.30431976217,5582.84019133796,1,-84,-66,1,66
20384,-158.94683,54.79969,-571.511595981868,5582.75987564447,1,-74,-52,1,52
18932,-161.25159,54.60444,-721.106221771424,5582.75212718598,1,-110,-87,1,87
19293,-160.66993,54.65805,-683.211209691146,5582.75063889583,1,-107,-126,1,126
18571,-161.83159,54.54787,-759.000657278918,5582.73778525806,1,-124,-140,1,140
19655,-160.08669,54.70869,-645.315639661424,5582.73333809302,1,-80,-59,1,59
20385,-158.91583,54.80102,-569.522915319866,5582.65136936462,1,-79,-58,1,58
18933,-161.22084,54.60639,-719.117549147226,5582.64688699076,1,-105,-88,1,88
19294,-160.63911,54.65985,-681.22253334141,5582.64457002259,1,-113,-128,1,128
18572,-161.80092,54.54998,-757.011989527752,5582.63337464251,1,-106,-125,1,125
19656,-160.0558,54.71033,-643.326960885551,5582.626441436,1,-78,-52,1,52
20386,-158.88482,54.80235,-567.534236167804,5582.54281975627,1,-80,-63,1,63
18934,-161.19008,54.60834,-717.128877694722,5582.54160329674,1,-103,-89,1,89
19295,-160.60828,54.66164,-679.233858238809,5582.53845769544,1,-116,-131,1,131
18573,-161.77024,54.55209,-755.02332288041,5582.52892048264,1,-57,-136,1,136
18935,-161.15933,54.61028,-715.140207418185,5582.43627610616,1,-103,-91,1,91
20387,-158.85381,54.80366,-565.545558531249,5582.43422682127,1,-82,-69,1,69
19296,-160.57746,54.66342,-677.245184387975,5582.43230191655,1,-117,-131,1,131
18574,-161.73956,54.55418,-753.034657340787,5582.42442278074,1,-140,-108,1,108
18936,-161.12857,54.61221,-713.151538321906,5582.33090542124,1,-101,-94,1,94
19297,-160.54663,54.66519,-675.256511793551,5582.32610268812,1,-117,-131,1,131
20388,-158.8228,54.80497,-563.556882415784,5582.32559056151,1,-88,-76,1,76
18575,-161.70887,54.55627,-751.045992912797,5582.31988153907,1,-134,-103,1,103
18937,-161.09781,54.61413,-711.162870410185,5582.22549124422,1,-104,-98,1,98
19298,-160.51579,54.66696,-673.267840460195,5582.21986001229,1,-115,-131,1,131
20389,-158.79179,54.80627,-561.568207826998,5582.21691097885,1,-91,-83,1,83
18576,-161.67819,54.55834,-749.05732960037,5582.21529675991,1,-116,-103,1,103
18938,-161.06704,54.61604,-709.174203687343,5582.12003357731,1,-109,-104,1,104
19299,-160.48496,54.66871,-671.279170392586,5582.11357389121,1,-113,-129,1,129
18577,-161.64749,54.56041,-747.068667407461,5582.11066844552,1,-100,-103,1,103
20390,-158.76077,54.80756,-559.5795347705,5582.10818807516,1,-91,-90,1,90
18939,-161.03627,54.61795,-707.185538157726,5582.01453242274,1,-113,-110,1,110
19300,-160.45412,54.67046,-669.290501595419,5582.00724432706,1,-108,-122,1,122
18578,-161.6168,54.56248,-745.080006338028,5582.00599659819,1,-89,-104,1,104
20391,-158.72975,54.80885,-557.590863251914,5581.99942185228,1,-98,-98,1,98
20748,-158.14199,54.84957,-519.693776403623,5581.92983776533,1,-166,-140,1,140
18940,-161.0055,54.61985,-705.196873825691,5581.90898778272,1,-115,-116,1,116
18579,-161.5861,54.56453,-743.091346396071,5581.90128122016,1,-72,-103,1,103
19301,-160.42328,54.6722,-667.3018340734,5581.90087132196,1,-106,-117,1,117
20392,-158.69874,54.81012,-555.60219327686,5581.89061231206,1,-99,-103,1,103
18221,-162.165,54.50626,-780.985235042002,5581.87773403438,1,-141,-145,1,145
20749,-158.11092,54.85068,-517.705109368156,5581.82020323697,1,-173,-127,1,127
18941,-160.97473,54.62173,-703.208210695606,5581.80339965947,1,-117,-123,1,123
18580,-161.5554,54.56657,-741.102687585589,5581.79652231371,1,-79,-102,1,102
19302,-160.39244,54.67393,-665.313167831259,5581.79445487807,1,-106,-115,1,115
20393,-158.66771,54.81139,-553.613524850991,5581.78175945633,1,-94,-113,1,113
18222,-162.13438,54.50846,-778.996581603882,5581.77380524373,1,-131,-144,1,144
20750,-158.07984,54.85179,-515.716443985695,5581.71052543106,1,-93,-123,1,123
18942,-160.94395,54.62361,-701.219548771867,5581.69776805518,1,-117,-124,1,124
18581,-161.5247,54.56861,-739.114029910603,5581.69171988109,1,-80,-102,1,102
19303,-160.36159,54.67566,-663.324502873736,5581.68799499753,1,-105,-118,1,118
20394,-158.63669,54.81264,-551.624857979959,5581.67286328694,1,-112,-118,1,118
18223,-162.10375,54.51066,-777.007929238143,5581.66983288139,1,-138,-144,1,144
20751,-158.04877,54.85289,-513.72778026216,5581.6008043493,1,-102,-125,1,125
18943,-160.91317,54.62549,-699.230888058886,5581.59209297208,1,-115,-125,1,125
18582,-161.49399,54.57064,-737.125373375159,5581.58687392455,1,-79,-101,1,101
19304,-160.33074,54.67737,-661.335839205589,5581.58149168245,1,-103,-110,1,110
18224,-162.07312,54.51284,-775.019277948441,5581.56581694964,1,-145,-144,1,144
